UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Barack Obama,@BarackObama,2013-09-26T15:11:07.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","Retweet if you agree: Women shouldn't have to pay more for their insurance just because they're women. #Obamacare
516
5,331
1,229",,516,"5,331","1,229",[],https://twitter.com/BarackObama/status/383247369547964417
Barack Obama,@BarackObama,2013-09-25T14:47:18.000Z,"Barack Obama
@BarackObama
·
Sep 25, 2013","Americans are standing up and saying #EnoughAlready to Congress. Join in: http://OFA.BO/3Js6am
371
856
527",,371,856,527,['https://pbs.twimg.com/media/BVBCaOtCcAAAVGw?format=png&name=small'],https://twitter.com/BarackObama/status/382878986709135360
Barack Obama,@BarackObama,2013-09-26T15:06:00.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","""The Affordable Care Act is here."" —President Obama
269
565
398",,269,565,398,[],https://twitter.com/BarackObama/status/383246078163709952
Barack Obama,@BarackObama,2013-09-26T15:48:11.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","""Let's make sure the United States of America keeps being a place where you can make it if you try."" —President Obama
572
1,220
726",,572,"1,220",726,[],https://twitter.com/BarackObama/status/383256693989048321
Barack Obama,@BarackObama,2013-09-26T15:01:41.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","""In the wealthiest nation on earth, no one should go broke just because they get sick."" —President Obama #Obamacare
411
1,804
820",,411,"1,804",820,[],https://twitter.com/BarackObama/status/383244991625056256
Barack Obama,@BarackObama,2013-09-24T21:20:53.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","""Any young person who doesn't have health insurance can stay on their parents health insurance until they're 26 years old."" —President Obama
326
862
519",,326,862,519,[],https://twitter.com/BarackObama/status/382615648204881922
Barack Obama,@BarackObama,2013-09-26T15:42:16.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","""I will not negotiate on anything when it comes to the full faith and credit of the United States of America."" —President Obama
329
766
460",,329,766,460,[],https://twitter.com/BarackObama/status/383255208253353984
Barack Obama,@BarackObama,2013-09-24T21:15:30.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","""A mom should not have to go bankrupt if her son or daughter gets sick ... I think most Americans agree with that"" —President Obama #CGI2013
343
1,541
843",,343,"1,541",843,[],https://twitter.com/BarackObama/status/382614292991721472
Barack Obama,@BarackObama,2013-09-26T15:17:01.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","President Obama summarizing the new health care law for millions of Americans: ""You're covered.""
208
541
331",,208,541,331,[],https://twitter.com/BarackObama/status/383248853383643136
Barack Obama,@BarackObama,2013-09-26T15:34:18.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","President Obama summarizes #Obamacare opponents' argument: Shut it down before people realize they like it.
233
665
359",,233,665,359,[],https://twitter.com/BarackObama/status/383253199928324096
Barack Obama,@BarackObama,2013-09-28T18:50:40.000Z,"Barack Obama
@BarackObama
·
Sep 28, 2013","Magnets are cool. http://OFA.BO/ddjjQc
446
436
349",,446,436,349,[],https://twitter.com/BarackObama/status/384027396019462144
Barack Obama,@BarackObama,2013-09-24T15:45:19.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","The 
@EPA
 is working to make our dirtiest power plants cleaner. #ActOnClimate
182
362
342",,182,362,342,['https://pbs.twimg.com/media/BU8GGM-CAAA0O0X?format=png&name=small'],https://twitter.com/BarackObama/status/382531196971778049
Barack Obama,@BarackObama,2013-09-24T21:38:07.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","""I don't have pride of authorship on this, I just want the thing to work."" —President Obama on #Obamacare in each state #CGI2013
240
558
314",,240,558,314,[],https://twitter.com/BarackObama/status/382619983278137344
Barack Obama,@BarackObama,2013-09-25T16:03:42.000Z,"Barack Obama
@BarackObama
·
Sep 25, 2013","Americans don't want a government shutdown. http://OFA.BO/hqWJA5 #EnoughAlready
350
528
287",,350,528,287,[],https://twitter.com/BarackObama/status/382898211318267904
Barack Obama,@BarackObama,2013-09-27T22:06:26.000Z,"Barack Obama
@BarackObama
·
Sep 27, 2013","#FF 
@Madeleine
. Welcome to Twitter, Madam Secretary.
383
587
424",,383,587,424,[],https://twitter.com/BarackObama/status/383714271965614080
Barack Obama,@BarackObama,2013-09-24T21:44:41.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","""Not only are premiums lower than they were, they're lower than the most optimistic predictions."" —President Obama on Obamacare #CGI2013
722
732
349",,722,732,349,[],https://twitter.com/BarackObama/status/382621635280252928
Barack Obama,@BarackObama,2013-09-28T19:42:56.000Z,"Barack Obama
@BarackObama
·
Sep 28, 2013","A group of Republicans is willing to hurt our economy over a law they don't like. Tell them #EnoughAlready: http://OFA.BO/jmwnMQ
415
887
350",,415,887,350,[],https://twitter.com/BarackObama/status/384040548287258624
Barack Obama,@BarackObama,2013-09-24T21:25:30.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","""Health care costs have grown at the slowest rate in 50 years. We are bending the cost curve."" —President Obama #CGI2013
185
412
194",,185,412,194,[],https://twitter.com/BarackObama/status/382616807732805632
Barack Obama,@BarackObama,2013-09-28T23:36:54.000Z,"Barack Obama
@BarackObama
·
Sep 28, 2013","""They refuse to pass a budget unless I let them sabotage Obamacare."" Read President Obama's message to supporters: http://OFA.BO/1xPgVD
626
1,142
480",,626,"1,142",480,[],https://twitter.com/BarackObama/status/384099429810057216
